"","w_delta11_mu","z_delta11_mu","w_delta18_mu","z_delta18_mu"
"409",1.34947,-1.76293,-0.201118,0.347935
"410",1.47656,-1.96373,0.0110327,0.166497
"411",1.52868,-2.80764,-0.264418,0.301958
"412",1.76238,-2.72303,-0.164406,0.447542
"413",1.62656,-2.66515,-0.142363,0.644145
"414",1.32765,-1.58806,0.00587458,0.336759
"415",1.22642,-1.74948,-0.0682119,0.0994391
"416",1.09993,-1.71473,0.371037,-0.289265
"417",1.01157,-0.837832,0.347238,-0.291748
"418",1.72034,-2.41493,0.117198,-0.229464
"419",1.50019,-1.85901,-0.0589767,0.0911382
"420",0.978081,-1.49272,0.08055,0.0147789
"421",0.930639,-1.65582,0.404814,0.0391822
"422",1.30748,-1.53812,-0.0715259,0.185115
"423",1.00923,-1.7385,-0.00129978,-0.0971361
"424",1.65062,-1.59434,0.0605902,0.0657655
"425",1.05682,-1.9224,-0.272983,1.45973
"426",0.760424,-1.45071,0.138733,0.0117648
"427",0.882918,-1.76749,-0.0870225,0.350132
"428",1.16427,-1.68,-0.078532,0.437614
"429",1.32022,-1.2562,-0.0204685,-0.053576
"430",1.57853,-0.94747,0.131353,0.216246
"431",0.517361,-1.25838,0.144391,-0.118498
"432",0.945006,-1.90391,0.340212,-0.149792
"433",1.82482,-2.125,-0.0581552,-0.038889
"434",1.53322,-2.66209,0.358422,-0.458032
"435",1.57495,-2.42238,0.355879,-0.52766
"436",1.55009,-2.29198,0.271312,-0.398968
"437",0.80243,-1.23126,-0.082961,0.0937853
"438",1.08537,-1.51745,0.139726,-0.164396
"439",1.17606,-1.39851,0.177033,-0.139172
"440",1.68881,-2.75434,0.137415,-0.0592353
"441",1.69933,-2.86105,0.205008,0.0527448
"442",1.48437,-2.34893,-0.00649978,0.0200154
"443",1.54802,-2.37905,-0.0097705,-0.0655785
"444",1.30932,-1.69407,0.291635,-0.00899587
"445",1.0438,-1.36784,-0.10332,0.316823
"446",1.2019,-1.62756,-0.0750522,0.180017
"447",1.02305,-1.34125,-0.120926,0.41522
"448",1.17086,-1.44207,0.151547,0.0978398
"449",1.26395,-1.66182,-0.118045,0.212542
"450",1.22518,-2.14991,-0.0797342,0.350754
"451",1.78955,-2.19011,-0.246059,0.416438
"452",0.63558,-1.20145,0.472616,-0.578916
"453",2.40823,-3.86904,0.26709,0.125988
"454",2.28395,-4.30505,-0.00733872,0.181455
"455",2.39635,-4.51807,0.177194,-0.226362
"456",2.18662,-4.11727,0.131445,-0.329602
"457",1.6357,-2.67179,0.0296405,-0.0977841
"458",0.835117,-1.29861,0.0469115,0.798956
"459",1.59612,-1.69467,-0.0206533,-0.275633
"460",2.08161,-2.03677,-0.146816,0.508498
"461",1.12495,-1.41666,-0.239056,0.593994
"462",1.14372,-1.4909,0.0515092,0.696098
"463",1.17175,-1.20937,-0.207831,0.420456
"464",0.837242,-1.48692,0.172778,-0.239385
"465",1.10821,-1.54621,-0.18076,0.47361
"466",1.30222,-1.6617,-0.0629316,0.287686
"467",1.12667,-1.51585,0.131111,-0.132893
"468",1.47788,-1.86767,-0.0255645,0.181298
"469",1.43719,-2.29731,-0.30847,0.56963
"470",1.60965,-2.10712,0.0283684,0.926226
"471",1.42621,-1.74265,0.231084,0.112602
"472",1.4375,-2.0321,0.137294,-0.467764
"473",1.78124,-2.25035,0.154181,-0.447071
"474",1.68756,-2.45386,0.00613336,0.367523
"475",1.45135,-2.33613,0.458465,-0.191448
"476",1.07106,-1.20182,0.139753,-0.034299
"477",0.969761,-1.61967,0.229804,0.109991
"478",1.81083,-2.21535,0.355006,-0.135253
"479",1.51577,-2.19655,0.211671,-0.248436
"480",1.18137,-2.00431,0.147237,-0.412503
"481",0.639633,-1.52208,0.333485,-0.0653104
"482",0.944992,-0.615717,0.336434,-0.17381
"483",1.35278,-1.62249,0.275471,-0.234021
"484",1.0593,-0.91728,-0.0317109,0.30786
"485",0.865298,-2.63356,0.0137215,0.105342
"486",1.71794,-3.03351,-0.0301845,0.264213
"487",1.86604,-3.78069,-0.194701,0.301682
"488",0.788811,-1.62873,-0.378101,0.274086
"489",0.683309,-1.82957,0.125578,0.564111
"490",0.283309,-0.798909,0.026187,0.69408
"491",0.744585,-1.37691,0.261191,0.317758
"492",1.21813,-1.79654,-0.148952,0.749927
"493",1.50764,-2.3848,-0.0292833,0.14109
"494",1.37787,-2.3062,-0.315981,0.488391
"495",1.79529,-2.43635,-0.396168,0.367884
"496",1.98899,-2.57673,-0.172729,0.511652
"497",1.79678,-2.7815,-0.137357,0.464865
"498",1.43039,-1.83169,-0.053635,0.0262126
"499",1.38808,-1.92668,-0.301362,0.42667
"500",1.52774,-3.10597,0.165701,0.276601
"501",0.690797,-1.12424,0.0772438,-0.0860904
"502",1.06065,-1.81357,0.0261518,0.0897066
"503",1.58128,-2.27157,0.139017,0.00551398
"504",1.09279,-0.982015,0.126858,-0.138382
"505",0.999086,-1.09859,0.181283,-0.267358
"506",0.952171,-1.39153,0.0841829,0.120606
"507",1.13522,-1.68005,0.200262,-0.183449
"508",1.11186,-1.66852,0.119355,0.202069
"509",0.873053,-1.2044,-0.141989,0.681139
"510",1.37302,-1.38042,-0.284129,0.640041
"511",1.28064,-1.76163,-0.138969,0.428609
"512",1.32259,-1.63794,-0.129294,0.300358
"513",1.62537,-1.67256,-0.0779292,0.375227
"514",1.09846,-0.916429,0.102016,0.19234
"515",1.53134,-2.66918,-0.290751,0.605233
"516",1.52556,-2.32802,-0.151898,0.425896
"517",0.822259,-1.33667,0.016905,0.164793
"518",0.833406,-1.07687,0.0998856,0.103519
"519",0.963343,-0.871963,0.0477154,0.0465224
"520",2.07485,-2.74312,-0.113814,0.272473
"521",1.07664,-1.90975,-0.212587,0.434948
"522",1.17207,-2.43556,-0.0415153,0.220947
"523",0.762837,-1.71015,0.100602,0.0291288
"524",1.20545,-1.58044,0.102737,0.152109
"525",0.862018,-1.32761,0.369244,-0.286143
"526",1.19956,-2.31492,0.518702,-0.740836
"527",0.724082,-0.441915,0.2409,-0.227784
"528",1.34751,-1.54117,0.248146,-0.324262
"529",0.898067,-0.890354,0.323366,-0.621948
"530",0.827854,-0.35918,0.159791,-0.234227
"531",1.50545,-2.94357,0.297827,-0.401547
"532",0.677433,-1.35391,0.118299,-0.0248832
"533",0.844602,-1.09093,0.138032,0.0437581
"534",1.34392,-1.7955,-0.111281,-0.0240439
"535",0.664649,-0.894979,0.160085,-0.0895139
"536",2.21333,-3.21268,0.0989129,-0.238602
"537",1.58257,-2.48731,0.221282,-0.381374
"538",2.27861,-3.46143,0.0735719,-0.350765
"539",0.953862,-1.07096,0.19143,-0.316574
"540",1.09287,-1.40433,0.322565,-0.241134
"541",1.95129,-2.16207,0.406473,-0.581898
"542",1.35337,-1.43699,0.127877,-0.251001
"543",1.43104,-1.24363,0.347696,-0.408987
"544",0.604171,-0.767185,0.557813,-0.772804
"545",0.514402,-0.30762,0.332373,-0.35939
"546",0.843057,-0.766691,0.354203,-0.2198
"547",1.31026,-2.12963,-0.0472862,-0.108212
