"","Rat","CatLH","PR","Local.Rate_mu","Local.Rate_sigma","Bn_predictions_mu","Bn_predictions_sigma","RatLabel"
"278",9,1,45,0.3045787518,0.311799171990858,0.237422730009048,0,"Rat #9"
"279",9,1,48,0.293078364333333,0.0959914573675113,0.224572199713018,0,"Rat #9"
"280",9,1,51,0.2589065145,0.0948601106433232,0.212973679870305,0,"Rat #9"
"281",9,1,54,0.2787792775,0.0278065421279176,0.202463449611518,0,"Rat #9"
"282",9,11,3,0.5711370614,0.188020950543758,0.252353642772817,0,"Rat #9"
"283",9,11,6,0.5100198078,0.0845457054389547,0.398920556523123,0,"Rat #9"
"284",9,11,9,0.487663243,0.230892487787652,0.465279420734776,0,"Rat #9"
"285",9,11,12,0.422442393,0.281663721275797,0.483949830436236,0,"Rat #9"
"286",9,11,15,0.519684809,0.274237767107305,0.477724976200362,0,"Rat #9"
"287",9,11,18,0.3772953548,0.202126296549505,0.459749025709583,0,"Rat #9"
"288",9,11,21,0.3078333274,0.101383431815271,0.437000275371879,0,"Rat #9"
"289",9,11,24,0.3967697714,0.194679850442982,0.413023312123447,0,"Rat #9"
"290",9,11,27,0.4339715422,0.156865073849803,0.389546153654767,0,"Rat #9"
"291",9,11,30,0.3571429746,0.146632595259903,0.367355013074762,0,"Rat #9"
"292",9,11,33,0.2992805266,0.130584818372659,0.346753635635911,0,"Rat #9"
"293",9,11,36,0.4429988504,0.295543288662265,0.327802843151519,0,"Rat #9"
"294",9,11,39,0.3265482528,0.163974213450631,0.310445525218208,0,"Rat #9"
"295",9,11,42,0.3825152002,0.0817530408423015,0.294571848584734,0,"Rat #9"
"296",9,11,45,0.2870052668,0.142650571672103,0.280053045962279,0,"Rat #9"
"297",9,11,48,0.27510457225,0.117475363388206,0.266758566400485,0,"Rat #9"
"298",9,11,51,0.32255920225,0.0581170763655064,0.254564375811602,0,"Rat #9"
"299",9,11,54,0.332073531333333,0.0840660334940917,0.243356558439274,0,"Rat #9"
"300",9,11,57,0.330181145333333,0.0453577132256746,0.233032452907417,0,"Rat #9"
"301",9,11,60,0.307112719,0.193147365622518,0.223500532348923,0,"Rat #9"
"302",9,11,63,0.344940867,NA,0.214679684202467,NA,"Rat #9"
"303",9,18,3,0.3915627436,0.0929665139146287,0.23654550186996,0,"Rat #9"
"304",9,18,6,0.3707820022,0.0681265579087417,0.361880115475843,0,"Rat #9"
"305",9,18,9,0.3121414258,0.176720820655386,0.411534102810807,0,"Rat #9"
"306",9,18,12,0.5684955602,0.527230792665602,0.420308002946988,0,"Rat #9"
"307",9,18,15,0.311152118,0.0778609635512402,0.409574441223199,0,"Rat #9"
